x, y, theta, stamp, 
-1.7404195070266724, -2.200298309326172, 0.7746056271168672, 1697807814052702929, 
-1.7208008766174316, -2.179866313934326, 0.8768688459843147, 1697807814146712075, 
-1.700366497039795, -2.1527678966522217, 0.9801584299720982, 1697807814259703872, 
-1.685511589050293, -2.12899112701416, 1.0497088423388459, 1697807814354733134, 
-1.6711028814315796, -2.102391481399536, 1.1083745852908498, 1697807814451937782, 
-1.6585534811019897, -2.075998306274414, 1.153378071937715, 1697807814546301576, 
-1.644961953163147, -2.043778419494629, 1.193631334765294, 1697807814659708806, 
-1.6344380378723145, -2.0168395042419434, 1.2179638201454495, 1697807814754730593, 
-1.6242138147354126, -1.9882172346115112, 1.2323758502675, 1697807814851907721, 
-1.6146177053451538, -1.9609811305999756, 1.2348820612106484, 1697807814946195879, 
-1.6031794548034668, -1.9289898872375488, 1.2266151875191897, 1697807815058718947, 
-1.5928288698196411, -1.9013093709945679, 1.2175609621453023, 1697807815154083030, 
-1.5821865797042847, -1.8732829093933105, 1.2051257533345394, 1697807815252014680, 
-1.571642279624939, -1.8465919494628906, 1.1889024129977537, 1697807815346130113, 
-1.558255910873413, -1.814621925354004, 1.165049204861328, 1697807815459703641, 
-1.5467162132263184, -1.7881932258605957, 1.1430661540663434, 1697807815553935521, 
-1.533866047859192, -1.7608659267425537, 1.1189223713220027, 1697807815651998904, 
-1.521376132965088, -1.7353768348693848, 1.0964990130763295, 1697807815746119405, 
-1.5055245161056519, -1.7052358388900757, 1.0688858210303598, 1697807815858240748, 
-1.4911633729934692, -1.6794568300247192, 1.0473251280495115, 1697807815954241209, 
-1.4760972261428833, -1.65399169921875, 1.0277850392208963, 1697807816051465360, 
-1.4608099460601807, -1.6292023658752441, 1.0081519419169098, 1697807816147005357, 
-1.4421107769012451, -1.6003245115280151, 0.9856944324260463, 1697807816259258239, 
-1.426023244857788, -1.5765975713729858, 0.971169715674943, 1697807816354412416, 
-1.4093379974365234, -1.552498459815979, 0.9581620682729719, 1697807816451050940, 
-1.392161250114441, -1.5285875797271729, 0.946266959489383, 1697807816547392862, 
-1.3718289136886597, -1.501042127609253, 0.9337106442725692, 1697807816659159829, 
-1.354298710823059, -1.4779239892959595, 0.9261114270283504, 1697807816755727736, 
-1.3364696502685547, -1.4544755220413208, 0.919781926801557, 1697807816851213344, 
-1.3188399076461792, -1.4311678409576416, 0.9151429431600638, 1697807816947250417, 
-1.297702431678772, -1.4039684534072876, 0.9110707294094557, 1697807817059598183, 
-1.2795828580856323, -1.3809053897857666, 0.9092987214561852, 1697807817155554164, 
-1.2615973949432373, -1.3579193353652954, 0.9077287865234762, 1697807817250858890, 
-1.2436625957489014, -1.3347935676574707, 0.9057249850593175, 1697807817347502175, 
-1.2228165864944458, -1.3078439235687256, 0.9058204853335219, 1697807817458763898, 
-1.2048474550247192, -1.285015344619751, 0.9066916826905047, 1697807817553811306, 
-1.1866081953048706, -1.2616915702819824, 0.9090748468646712, 1697807817650873333, 
-1.1684571504592896, -1.2384705543518066, 0.91136390744535, 1697807817746832344, 
-1.1477028131484985, -1.2115885019302368, 0.9124491195226513, 1697807817858761204, 
-1.1297886371612549, -1.1881221532821655, 0.9157997739001185, 1697807817954761927, 
-1.1118969917297363, -1.1645839214324951, 0.9187368915078643, 1697807818050864681, 
-1.0942273139953613, -1.141215205192566, 0.9204016992731961, 1697807818147572673, 
-1.0737121105194092, -1.113919734954834, 0.9261224814007049, 1697807818258808960, 
-1.0561200380325317, -1.090400218963623, 0.9303302831003636, 1697807818354810837, 
